,State,Year,NO2 Mean,O3 Mean,SO2 Mean,CO Mean,Pollution Index
160,Indiana,2003,14.522778646067437,29.897033707865127,3.3911762837078623,442.21821910112556,490.029207738766
161,Indiana,2004,13.780555342657328,30.380405594405687,4.725999332167828,564.8289265734261,613.7158868426569
162,Indiana,2005,13.230630027173913,32.80651630434784,4.766601108695644,422.17621739130533,472.97996483152275
163,Indiana,2006,13.922752137931043,24.199563218390807,9.933532290229898,656.3206781609216,704.3765258074734
164,Indiana,2007,10.99442851841359,31.856643059490082,3.3991836784702563,448.7045212464587,494.9547765028326
165,Indiana,2008,9.288780684782612,28.749516304347722,2.465206429347825,419.6332228260875,460.13672624456564
166,Indiana,2009,10.135623790960464,25.930056497175137,1.5431601214689297,233.74955084745773,271.35839125706224
167,Indiana,2010,9.39229546938776,29.44995238095235,2.9859852891156455,164.23727210884334,206.0655052482991
168,Indiana,2011,9.906356070652182,33.770559782608686,1.3611319782608695,56.3294538043478,101.36750163586953
169,Indiana,2012,9.840462542483658,35.76250980392149,0.8448061470588235,400.79894117647075,447.2467196699347
170,Indiana,2013,10.359545698035161,28.500381592554323,2.1757260548086816,268.1474591520168,309.1831124974149
171,Indiana,2014,11.333617678481023,27.03470126582291,2.479835131645572,231.24612151898728,272.0942755949368
172,Indiana,2015,13.494140243609012,26.21149172932322,1.262985229323308,248.85166766917231,289.8202848714279
173,Indiana,2016,13.857478082474215,26.542319587628885,0.39297341237113415,244.7393453608247,285.53211644329895
174,Iowa,2006,8.230118000000003,16.32480645161291,0.4614989193548385,207.2039032258065,232.22032659677424
175,Iowa,2007,7.358557680306897,28.9389309462916,0.5532879795396431,254.28609335038277,291.1368699565209
176,Iowa,2008,7.458725873619597,27.269525153374268,0.4370092650306748,255.65465766871048,290.81991796073504
177,Iowa,2009,6.99674808020053,26.15857142857153,0.32478274937343354,240.86861278195454,274.34871504010005
178,Iowa,2010,7.497582681415918,28.708853350189617,0.38630941403287017,250.27920986093542,286.87195530657385
179,Iowa,2011,7.359249986679373,28.032132254995265,0.4967388458610849,206.70481065651674,242.59293174405246
180,Iowa,2012,7.57747048471223,29.349535971222913,0.422324200989208,215.38954946043035,252.7388801173547
181,Iowa,2013,6.7666955050504916,28.33460697887973,0.3992495569329667,201.39591276400517,236.89646480486834
182,Iowa,2014,6.348770536458271,26.64081597222237,0.416381745659723,203.26658072916908,236.67254898350944
183,Iowa,2015,6.0679104739583565,27.443917534722296,0.4011588897569422,208.16325868055893,242.07624557899652
184,Iowa,2016,5.994894780219794,30.60908241758231,0.19128403021977972,209.66417307692154,246.45943430494341
185,Kansas,2000,9.703852443089458,29.72557723577246,0.942815025745256,754.4122005420073,794.7844452466145
186,Kansas,2001,10.594909158176932,27.97798257372657,0.9931302044235929,334.6249048257368,374.1909267620639
187,Kansas,2002,8.77606315970057,27.315759825327582,1.562858779787899,392.605149095445,430.25983086026105
188,Kansas,2003,9.623070339901455,27.759985221674853,1.795816868637115,315.8252504105086,355.004122840722
189,Kansas,2004,9.540076842349297,24.33055023183922,2.0952714289026244,381.3784914992274,417.3443900023185
190,Kansas,2005,10.949590485362094,26.17121571648691,2.2111053181818154,383.8801263482278,423.2120378682586
191,Kansas,2006,11.178105495107646,27.626790606653596,3.2913566252446085,375.9224158512728,418.0186685782786
192,Kansas,2007,13.393603279452053,23.231536986301293,4.1964023698630175,422.2136205479443,463.03516318356066
193,Kansas,2008,16.807892210374636,22.085515850144088,4.0438180979827125,402.3550706051883,445.29229676368976
194,Kansas,2009,12.271639795321677,23.496339181286565,4.652079026315781,296.2093406432749,336.6293986461989
195,Kansas,2010,13.066675312865529,21.598385964912286,5.189308907894739,417.02650730994094,456.8808774956135
196,Kansas,2011,13.100770260000026,21.984428571428573,3.6189493357142886,451.4423471428561,490.14649530999895
197,Kansas,2012,12.065956740088133,28.823919236417005,2.808529079295158,510.6750770925104,554.3734821483107
198,Kansas,2013,11.859712665584398,25.20611688311693,2.043392454545444,435.78813474025833,474.8973567435051
199,Kansas,2014,11.030924596590891,25.18003977272726,1.7583278650568224,264.85516903409064,302.8244612684656
200,Kansas,2015,11.036150472346787,25.35690582959646,1.542131605381165,286.09980194319826,324.03498985052266
201,Kansas,2016,11.585219365714298,22.854857142857114,1.0845895657142848,252.64330285714288,288.16796893142856
202,Kentucky,2000,12.672254688986381,28.89588840102451,4.780632958470566,177.90749103549194,224.2562670839734
203,Kentucky,2001,12.55759945209434,30.2282989889264,4.064225925132407,130.81539046702045,177.6655148331736
204,Kentucky,2002,11.074694029259945,32.02080895008604,2.920047534423411,129.7920895008602,175.80764001462958
205,Kentucky,2003,10.843640384615368,32.97152834008101,3.5330672064777375,104.20246356275294,151.55069949392706
206,Kentucky,2013,14.10820124390243,15.32406097560976,1.4973032987804875,351.7634817073171,382.6930472256098
207,Kentucky,2014,11.438002149847108,20.481568807339425,1.457531481651376,261.3089755351677,294.68607797400557
208,Kentucky,2015,7.884836158031092,23.66171243523321,0.5511602487046625,270.79484455958544,302.89255340155444
209,Louisiana,2000,17.346074243169465,23.755950819672126,3.658712430327868,756.6461953551934,801.4069328483629
210,Louisiana,2001,17.35923877222225,22.977722222222265,3.691796738888884,825.7890902777773,869.8178480111106
211,Louisiana,2002,18.007522912917302,21.03772423802622,2.612759072568939,715.7975195936145,757.455525817127
212,Louisiana,2003,15.562502252777774,20.968977777777795,3.3623285555555644,661.954154166666,701.8479627527771
213,Louisiana,2004,15.816226016438339,22.231991780821918,3.4598764520547904,561.8260150684918,603.3341093178068
214,Louisiana,2005,14.399629534042566,25.39037872340433,3.76696081808511,470.6988744680856,514.2558435436176
215,Louisiana,2006,14.991752207161158,22.960393861892676,3.437757241687981,371.68491687979514,413.07482019053697
216,Louisiana,2007,15.199116918309839,22.392932394366152,2.574561514084507,381.69429295774796,421.8609037845085
217,Louisiana,2008,13.101188951049007,21.69476223776224,2.395542344055944,283.27226853146834,320.4637620643355
218,Louisiana,2009,12.875143473684165,22.424952908587244,1.9134634279778324,221.38746952908468,258.60102933933393
219,Louisiana,2010,12.698542830028297,25.29160339943342,1.3596249348441953,247.254865439093,286.60463660339894
220,Louisiana,2011,11.665706710743812,25.2339421487603,1.247419834710745,221.49750413223083,259.6445728264457
221,Louisiana,2012,11.400542943661996,24.979115492957686,0.8244011042253533,218.68265492957713,255.88671447042216
222,Louisiana,2013,9.64470509444445,23.653811111111057,0.635253729166667,204.01628749999992,237.95005743472208
223,Louisiana,2014,10.480869211480348,23.334157099697876,1.2450263338368568,266.7189350453171,301.7789876903322
224,Louisiana,2015,9.385910437241375,23.550808275862,1.0705288620689657,220.86940275862014,254.8766503337925
225,Louisiana,2016,12.911401631578949,26.846491228070146,1.1132564605263158,232.93776754386008,273.8089168640355
226,Maine,2006,2.336910172413789,26.2786965517241,0.8235399448275883,178.90318620689632,208.34233287586179
227,Maine,2007,2.800110227397269,26.452495890410965,0.7790631561643856,172.2276917808214,202.25936105479403
228,Maine,2008,5.859293306451626,23.85837275985665,1.2127995053763445,164.70165591397736,195.63212148566197
229,Maine,2009,6.676751896759611,23.04031348907308,1.82354757573474,206.4130979653341,237.95371092690152
230,Maine,2010,6.161710454579719,26.201762156049767,0.9401552966453057,252.70111421032786,286.00474211760263
231,Maine,2011,5.592793518441206,24.528900487125952,0.8144703646485698,232.71899930410575,263.6551636743215
